type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Vertical Explosion,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152376030/posts/2166362222,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152376030,Apprenticeship Level 3/Production Level Effects - Breakdown/Vertical Explosion.html,REPLACED,136258,280.730,
post,Sketch - Drawing with Confidence,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445/posts/2158960466,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/Sketch - Drawing with Confidence.html,REPLACED,264917,20.357,
post,Sketch - Thinking in 3D,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445/posts/2158960470,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/Sketch - Thinking in 3D.html,REPLACED,261543,21.088,
post,Sketch - Drawing in Perspective,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445/posts/2158960472,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/Sketch - Drawing in Perspective.html,REPLACED,265462,40.022,
post,Sketch - Using Weighted Lines (Water Practice),https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445/posts/2158960475,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/Sketch - Using Weighted Lines (Water Practice).html,REPLACED,265828,40.408,
post,Sketch - Drawing from a Reference,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445/posts/2158960476,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627445,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Lesson Sketch/Sketch - Drawing from a Reference.html,REPLACED,261741,39.428,
post,Drawing Foundations Review,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659699/posts/2159034240,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659699,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/Review/Drawing Foundations Review.html,REPLACED,258198,58.800,
post,Start Animating!,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962118,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/Start Animating!.html,REPLACED,266479,47.780,
post,The Drawing Tools,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962120,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/The Drawing Tools.html,REPLACED,269053,49.394,
post,Software Setup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962119,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/Software Setup.html,REPLACED,261767,51.327,
post,Timeline Controls,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962123,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/Timeline Controls.html,REPLACED,261485,45.607,
post,Creating Irregular Flipbooks,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962126,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/Creating Irregular Flipbooks.html,REPLACED,261894,35.747,
post,Creating Flipbooks,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962124,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/Creating Flipbooks.html,REPLACED,269660,39.290,
post,BONUS - Cleanup Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208/posts/2158962130,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627208,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Animate/BONUS - Cleanup Animation.html,REPLACED,261984,67.369,
post,Node Setup & Compositing,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627207/posts/2158962146,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627207,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Harmony/Node Setup & Compositing.html,REPLACED,265791,16.862,
post,Flipbook Creation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627207/posts/2158962150,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627207,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Harmony/Flipbook Creation.html,REPLACED,262346,8.401,
