type,title,url,parent_url,local_path,status
category,Intro to Shaders - Unity,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2153219613,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Intro to Shaders - Unity/index.html,DISCOVERED
category,Intro to Materials - Unreal 5,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605515,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Intro to Materials - Unreal 5/index.html,DISCOVERED
category,Art Foundational Lectures - Explained,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605523,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Art Foundational Lectures - Explained/index.html,DISCOVERED
category,League of Effects (Fan Art) Breakdowns,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198573,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/League of Effects (Fan Art) Breakdowns/index.html,DISCOVERED
category,Particle Practices - Community Recordings,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2152650100,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Particle Practices - Community Recordings/index.html,DISCOVERED
category,Elemental Studies - Unity,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605572,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Elemental Studies - Unity/index.html,DISCOVERED
category,Elemental Studies - Unreal,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154231245,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Elemental Studies - Unreal/index.html,DISCOVERED
category,Level 1 ✅,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605604,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Level 1 ✅/index.html,DISCOVERED
category,Project - Download,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2151459356,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Project - Download/index.html,DISCOVERED
category,Particle Animation - Explained,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2151459443,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Particle Animation - Explained/index.html,DISCOVERED
category,Unreal & Unity - Track Overview,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150691176,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Unreal & Unity - Track Overview/index.html,DISCOVERED
category,VFX Case Studies - Unreal & Unity,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613163,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/index.html,DISCOVERED
category,Unity Booms & Blasts - Legacy,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613259,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Unity Booms & Blasts - Legacy/index.html,DISCOVERED
category,Unreal Cascade Booms & Blasts - Legacy,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613360,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Unreal Cascade Booms & Blasts - Legacy/index.html,DISCOVERED
category,Level 2 ✅,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613450,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,Hand-Crafted 3D VFX_ Level 2/Level 2 ✅/index.html,DISCOVERED
category,Project - Download,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151531420,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Project - Download/index.html,DISCOVERED
category,Soft Skills - Explained,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661675,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Soft Skills - Explained/index.html,DISCOVERED
category,"Sidescroller: 2D FX, 3D FX & Implementation - Unreal 4",https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661700,https://www.vfxapprentice.com/products/apprenticeship-level-3,"Apprenticeship Level 3/Sidescroller_ 2D FX, 3D FX & Implementation - Unreal 4/index.html",DISCOVERED
category,Production Level Effects - Breakdown,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152376030,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Production Level Effects - Breakdown/index.html,DISCOVERED
category,Production Level Effects - Unreal,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152945612,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Production Level Effects - Unreal/index.html,DISCOVERED
category,Apprenticeship,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Apprenticeship/index.html,DISCOVERED
category,Apprenticeship ✅,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151090962,https://www.vfxapprentice.com/products/apprenticeship-level-3,Apprenticeship Level 3/Apprenticeship ✅/index.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012/posts/2198376946,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012,VFX Apprentice Asset Library/VFX by Mario Belén/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593/posts/2194025583,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593,VFX Apprentice Asset Library/VFX by Daryna-Vladyslava Masiahina/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178/posts/2198408275,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178,VFX Apprentice Asset Library/VFX by Gustavo Dresch Rosa/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504/posts/2196863699,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504,VFX Apprentice Asset Library/VFX by Clovis Lebret/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336/posts/2197994713,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336,VFX Apprentice Asset Library/VFX by Can Bayar/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997/posts/2194002394,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168/posts/2192189829,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168,VFX Apprentice Asset Library/VFX by Harmonie Duquesne/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723/posts/2192668720,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723,VFX Apprentice Asset Library/VFX by Katie Stine/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664/posts/2194720546,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664,VFX Apprentice Asset Library/VFX by Jakub Tkáč/Project Download.html,DISCOVERED
