type,lesson,url,name,local_path,status,size_bytes
video,Embers - Spritesheet,https://embed-ssl.wistia.com/deliveries/72b31140511d3977416965c21a1cff85825a6316.bin,Embers - Spritesheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Embers - Spritesheet.mp4,ALREADY_EXISTS_MP4,98706016
resource,Embers - Spritesheet,https://www.vfxapprentice.com/courses/downloads/2155773427/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Lightning - Spritesheet,https://embed-ssl.wistia.com/deliveries/c5d38a0a242a684624659c33c09bcd32b1bd6f53.bin,Lightning - Spritesheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Lightning - Spritesheet.mp4,ALREADY_EXISTS_MP4,80150624
resource,Lightning - Spritesheet,https://www.vfxapprentice.com/courses/downloads/2155773426/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Wisps - Spritesheet,https://embed-ssl.wistia.com/deliveries/a5abe1eb5bd28b7480757d9c0abd0fb2d3b4cd0b.bin,Wisps - Spritesheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Wisps - Spritesheet.mp4,ALREADY_EXISTS_MP4,61694199
resource,Wisps - Spritesheet,https://www.vfxapprentice.com/courses/downloads/2155773425/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Splash,https://embed-ssl.wistia.com/deliveries/4b989aa88f9aa76b3627db2df7fc49662d9c9858.bin,Splash.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Splash.mp4,ALREADY_EXISTS_MP4,86796472
resource,Splash,https://www.vfxapprentice.com/courses/downloads/2155773424/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Tiling Trail,https://embed-ssl.wistia.com/deliveries/b0de8fe1bc9b67beeec3891d6c03abd4f6cb3a32.bin,Tiling Trail.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Tiling Trail.mp4,ALREADY_EXISTS_MP4,95472585
resource,Tiling Trail,https://www.vfxapprentice.com/courses/downloads/2155773421/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Tiling Noise,https://embed-ssl.wistia.com/deliveries/d308aee7b575d0e9cd2ef4d2bec5f2ca9c8d854a.bin,Tiling Noise.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Tiling Noise.mp4,ALREADY_EXISTS_MP4,76156877
resource,Tiling Noise,https://www.vfxapprentice.com/courses/downloads/2155773423/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
