type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Refined Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823471,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Refined Animation.html,DOWNLOADED,444504,9.475,
post,Backgrounds,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823472,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Backgrounds.html,DOWNLOADED,495339,6.262,
post,Complex 2D FX Composition Studies Review,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660263/posts/2159085220,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660263,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Review/Complex 2D FX Composition Studies Review.html,FAILED_OUTPUT_MISSING,0,3.733,
post,Compositing,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823474,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Compositing.html,DOWNLOADED,437209,9.744,
post,Intro & Overview,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428/posts/2172935451,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Introduction & Game Development/Intro & Overview.html,DOWNLOADED,460171,6.309,
post,Departments,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428/posts/2172935496,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Introduction & Game Development/Departments.html,FAILED_OUTPUT_MISSING,0,7.367,
post,Style,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483/posts/2172935706,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483,"Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Gameplay, Engines, Platforms/Style.html",DOWNLOADED,501556,6.221,
post,Roles,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428/posts/2172935617,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198428,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Introduction & Game Development/Roles.html,DOWNLOADED,428480,10.553,
post,Gameplay,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483/posts/2172935707,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483,"Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Gameplay, Engines, Platforms/Gameplay.html",DOWNLOADED,446325,6.291,
post,Game Engines,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483/posts/2172935709,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483,"Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Gameplay, Engines, Platforms/Game Engines.html",DOWNLOADED,473578,6.130,
post,Platforms,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483/posts/2172935711,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198483,"Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Gameplay, Engines, Platforms/Platforms.html",DOWNLOADED,448835,6.251,
post,"Textures, Meshes, Shaders",https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485/posts/2172935735,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485,"Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/VFX Terminology & Process/Textures, Meshes, Shaders.html",DOWNLOADED,455015,6.242,
post,Pipeline,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485/posts/2172935740,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/VFX Terminology & Process/Pipeline.html,DOWNLOADED,512986,6.236,
post,Particle Systems,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485/posts/2172935736,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198485,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/VFX Terminology & Process/Particle Systems.html,DOWNLOADED,473378,9.703,
post,Next Steps,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198488/posts/2172935745,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198488,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/Next Steps/Next Steps.html,DOWNLOADED,487065,6.178,
post,Tiling Fiery Noise,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613640/posts/2158905866,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613640,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Tiling Fiery Noise/Tiling Fiery Noise.html,FAILED_OUTPUT_MISSING,0,4.474,
